dt,spend,userid
2024-10-01T14:38:41+09:00,07:47:40,3524
2024-10-01T14:38:42+09:00,06:43:43,703
2024-10-01T14:38:42+09:00,00:25:06,3451
2024-10-01T14:38:45+09:00,00:04:58,2536
2024-10-01T14:38:49+09:00,05:21:03,2607
2024-10-01T14:38:53+09:00,00:00:00,2346
2024-10-01T14:38:54+09:00,05:35:28,2345
2024-10-01T14:39:02+09:00,00:00:00,296
2024-10-01T14:39:06+09:00,00:00:00,3562
2024-10-01T14:39:08+09:00,02:33:19,189
2024-10-01T14:39:19+09:00,00:00:31,3619
2024-10-01T14:39:24+09:00,00:00:00,2674
2024-10-01T14:39:26+09:00,01:49:44,2219
2024-10-01T14:39:28+09:00,00:00:00,2905
2024-10-01T14:39:35+09:00,00:06:32,3238
2024-10-01T14:39:36+09:00,00:00:00,297
2024-10-01T14:39:36+09:00,09:18:00,1705
2024-10-01T14:39:47+09:00,00:50:41,14
2024-10-01T14:39:51+09:00,05:46:11,88
2024-10-01T14:40:21+09:00,00:05:21,1605
2024-10-01T14:40:27+09:00,05:36:10,657
2024-10-01T14:40:35+09:00,00:08:57,2221
2024-10-01T14:41:29+09:00,00:00:00,211
2024-10-01T14:41:35+09:00,00:29:53,437
2024-10-01T14:41:41+09:00,00:27:45,1604
2024-10-01T14:41:42+09:00,00:00:00,3637
2024-10-01T14:41:50+09:00,00:21:52,3209
2024-10-01T14:42:12+09:00,04:09:38,1655
2024-10-01T14:42:13+09:00,02:05:41,847
2024-10-01T14:42:44+09:00,00:35:25,412
2024-10-01T14:43:00+09:00,00:00:00,2668
2024-10-01T14:43:16+09:00,00:00:00,2698
2024-10-01T14:43:30+09:00,01:01:31,3639
2024-10-01T14:43:34+09:00,00:00:00,1952
2024-10-01T14:43:54+09:00,00:00:00,385
2024-10-01T14:44:19+09:00,00:00:00,2220
2024-10-01T14:44:30+09:00,00:00:00,1202
2024-10-01T14:45:14+09:00,01:17:15,1166
2024-10-01T14:47:14+09:00,01:50:27,329
2024-10-01T14:47:20+09:00,00:02:28,62
2024-10-01T14:47:27+09:00,01:08:54,3345
2024-10-01T14:47:40+09:00,00:00:00,172
2024-10-01T14:47:56+09:00,00:00:38,3138
2024-10-01T14:48:22+09:00,00:23:15,520
2024-10-01T14:48:37+09:00,01:41:56,1717
2024-10-01T14:48:53+09:00,00:00:20,3140
2024-10-01T14:49:26+09:00,02:53:50,731
2024-10-01T14:50:17+09:00,00:10:01,2870
2024-10-01T14:50:22+09:00,00:00:00,1755
2024-10-01T14:50:56+09:00,00:00:00,2341
2024-10-01T14:53:28+09:00,00:00:00,1765
2024-10-01T14:53:34+09:00,00:21:41,2964
2024-10-01T14:53:58+09:00,00:08:00,1409
2024-10-01T14:54:28+09:00,00:05:58,428
2024-10-01T14:58:28+09:00,00:47:01,2592
2024-10-01T15:01:02+09:00,03:03:28,695
2024-10-01T15:02:23+09:00,00:26:31,688
2024-10-01T15:02:57+09:00,01:35:43,889
2024-10-01T15:03:19+09:00,00:00:00,3249
2024-10-01T15:05:33+09:00,00:00:00,3650
2024-10-01T15:06:04+09:00,00:12:35,2482
2024-10-01T15:07:01+09:00,00:00:00,495
2024-10-01T15:07:05+09:00,00:32:20,3257
2024-10-01T15:07:08+09:00,00:00:00,523
2024-10-01T15:07:34+09:00,00:05:37,1272
2024-10-01T15:08:32+09:00,00:03:12,2401
2024-10-01T15:11:12+09:00,02:14:22,2611
2024-10-01T15:11:28+09:00,00:23:58,297
2024-10-01T15:12:20+09:00,00:03:40,1715
2024-10-01T15:12:35+09:00,00:56:09,2952
2024-10-01T15:13:23+09:00,00:00:00,2881
2024-10-01T15:13:42+09:00,00:00:00,2672
2024-10-01T15:14:02+09:00,00:02:40,1201
2024-10-01T15:15:51+09:00,00:13:02,3506
2024-10-01T15:16:11+09:00,00:00:00,2536
2024-10-01T15:17:09+09:00,00:01:00,3052
2024-10-01T15:17:21+09:00,00:02:55,365
2024-10-01T15:18:06+09:00,00:00:00,2486
2024-10-01T15:18:27+09:00,00:00:00,2460
2024-10-01T15:19:03+09:00,00:10:11,663
2024-10-01T15:19:06+09:00,00:56:44,3555
2024-10-01T15:19:37+09:00,00:21:39,625
2024-10-01T15:19:54+09:00,00:01:15,1067
2024-10-01T15:20:38+09:00,00:00:13,2303
2024-10-01T15:22:10+09:00,00:00:00,947
2024-10-01T15:22:19+09:00,00:18:46,3637
2024-10-01T15:22:45+09:00,00:00:00,3538
2024-10-01T15:22:48+09:00,00:00:00,2115
2024-10-01T15:23:36+09:00,00:26:10,2905
2024-10-01T15:23:52+09:00,00:00:00,1071
2024-10-01T15:24:51+09:00,00:57:09,718
2024-10-01T15:25:04+09:00,00:00:00,3464
2024-10-01T15:25:27+09:00,00:00:00,468
2024-10-01T15:27:40+09:00,00:08:01,3501
2024-10-01T15:29:49+09:00,02:53:12,2070
2024-10-01T15:30:01+09:00,00:00:00,2242
2024-10-01T15:30:24+09:00,00:00:00,1149
2024-10-01T15:30:27+09:00,00:00:00,1284
2024-10-01T15:30:32+09:00,00:13:51,3238
2024-10-01T15:30:37+09:00,00:03:29,3147
2024-10-01T15:33:09+09:00,00:15:39,385
2024-10-01T15:33:31+09:00,00:00:00,447
2024-10-01T15:34:17+09:00,04:05:00,2870
2024-10-01T15:34:48+09:00,00:19:01,62
2024-10-01T15:34:48+09:00,00:00:00,706
2024-10-01T15:36:36+09:00,00:46:29,628
2024-10-01T15:38:10+09:00,00:01:04,510
2024-10-01T15:38:56+09:00,00:00:00,680
2024-10-01T15:39:22+09:00,00:00:44,2650
2024-10-01T15:39:36+09:00,00:04:54,2838
2024-10-01T15:39:54+09:00,00:00:00,3562
2024-10-01T15:40:02+09:00,00:04:01,1765
2024-10-01T15:40:16+09:00,00:00:00,3547
2024-10-01T15:40:17+09:00,00:16:53,1604
2024-10-01T15:40:30+09:00,00:00:00,2215
2024-10-01T15:41:49+09:00,00:00:00,3249
2024-10-01T15:41:59+09:00,00:00:00,1202
2024-10-01T15:42:10+09:00,00:00:01,2252
2024-10-01T15:42:31+09:00,00:00:00,1079
2024-10-01T15:44:24+09:00,00:04:50,2925
2024-10-01T15:44:58+09:00,00:45:59,3451
2024-10-01T15:46:12+09:00,00:02:51,1753
2024-10-01T15:47:26+09:00,00:00:00,2964
2024-10-01T15:50:28+09:00,00:00:00,3006
2024-10-01T15:51:25+09:00,00:00:00,2970
2024-10-01T15:51:26+09:00,00:00:00,2565
2024-10-01T15:51:43+09:00,00:03:47,1756
2024-10-01T15:53:46+09:00,00:00:00,896
2024-10-01T15:53:51+09:00,00:38:42,2934
2024-10-01T15:55:13+09:00,02:07:53,520
2024-10-01T15:55:46+09:00,00:15:48,296
2024-10-01T15:56:32+09:00,00:00:00,2881
2024-10-01T15:56:49+09:00,00:00:00,3217
2024-10-01T15:56:52+09:00,00:00:25,1272
2024-10-01T15:57:53+09:00,00:00:28,2553
2024-10-01T15:57:57+09:00,00:00:06,1115
2024-10-01T15:58:14+09:00,00:00:00,1529
2024-10-01T15:59:38+09:00,00:28:42,1071
2024-10-01T16:00:35+09:00,00:27:46,211
2024-10-01T16:01:23+09:00,00:08:09,1066
2024-10-01T16:02:13+09:00,00:01:37,2225
2024-10-01T16:02:57+09:00,00:00:00,326
2024-10-01T16:03:21+09:00,00:04:50,1591
2024-10-01T16:03:21+09:00,00:01:06,3336
2024-10-01T16:03:51+09:00,00:00:00,3340
2024-10-01T16:04:25+09:00,00:03:46,2344
2024-10-01T16:04:34+09:00,04:11:14,14
2024-10-01T16:05:07+09:00,00:02:00,2220
2024-10-01T16:05:08+09:00,00:00:36,2456
2024-10-01T16:05:52+09:00,00:00:00,1432
2024-10-01T16:06:19+09:00,00:00:28,365
2024-10-01T16:08:14+09:00,00:00:00,2279
2024-10-01T16:09:56+09:00,00:35:01,2401
2024-10-01T16:10:56+09:00,00:18:43,3629
2024-10-01T16:12:08+09:00,00:29:33,136
2024-10-01T16:12:08+09:00,00:09:22,1715
2024-10-01T16:12:12+09:00,00:30:14,392
2024-10-01T16:14:07+09:00,00:10:33,3637
2024-10-01T16:14:15+09:00,00:19:11,2879
2024-10-01T16:14:23+09:00,02:03:43,412
2024-10-01T16:17:28+09:00,00:25:30,1366
2024-10-01T16:18:00+09:00,00:03:37,3407
2024-10-01T16:18:12+09:00,00:02:12,2895
