dt,spend,userid
2024-08-26T22:18:33+09:00,00:00:00,3157
2024-10-16T17:16:13+09:00,00:00:00,3524
2024-10-16T17:16:14+09:00,00:00:00,703
2024-10-17T14:49:30+09:00,08:24:19,3524
2024-10-17T15:04:41+09:00,02:40:49,2345
2024-10-17T15:05:10+09:00,02:46:13,520
2024-10-17T15:05:20+09:00,08:54:29,1705
2024-10-17T15:06:39+09:00,08:51:59,3345
2024-10-17T15:07:43+09:00,00:00:00,428
2024-10-17T15:08:21+09:00,03:31:35,329
2024-10-17T15:08:35+09:00,00:00:00,896
2024-10-17T15:10:03+09:00,00:46:02,1366
2024-10-17T15:10:28+09:00,00:00:00,412
2024-10-17T15:11:26+09:00,00:00:00,3006
2024-10-17T15:16:37+09:00,00:40:02,695
2024-10-17T15:18:52+09:00,01:29:12,2482
2024-10-17T15:19:49+09:00,02:17:54,703
2024-10-17T15:21:08+09:00,01:03:33,657
2024-10-17T15:21:25+09:00,00:03:38,189
2024-10-17T15:25:40+09:00,00:40:07,1655
2024-10-17T15:26:36+09:00,00:04:14,1272
2024-10-17T15:26:46+09:00,00:28:29,847
2024-10-17T15:26:47+09:00,00:25:53,3238
2024-10-17T15:26:51+09:00,00:08:46,2346
2024-10-17T15:26:56+09:00,00:00:00,224
2024-10-17T15:27:06+09:00,00:15:21,1604
2024-10-17T15:27:08+09:00,00:12:10,2220
2024-10-17T15:29:26+09:00,00:00:00,385
2024-10-17T15:32:10+09:00,00:14:47,1157
2024-10-17T15:33:46+09:00,00:00:32,3389
2024-10-17T15:34:36+09:00,01:21:08,2070
2024-10-17T15:34:40+09:00,00:00:39,1605
2024-10-17T15:37:50+09:00,00:24:25,3560
2024-10-17T15:38:36+09:00,00:00:00,3195
2024-10-17T15:39:05+09:00,00:00:00,1717
2024-10-17T15:42:09+09:00,00:32:53,1699
2024-10-17T15:42:25+09:00,00:05:20,2934
2024-10-17T15:42:41+09:00,00:32:10,88
2024-10-17T15:42:53+09:00,00:08:00,625
2024-10-17T15:42:54+09:00,00:00:00,911
2024-10-17T15:45:51+09:00,00:07:07,3451
2024-10-17T15:46:21+09:00,00:25:17,3399
2024-10-17T15:47:31+09:00,00:15:12,3555
2024-10-17T15:50:33+09:00,00:00:00,706
2024-10-17T15:54:14+09:00,00:00:00,1652
2024-10-17T15:54:48+09:00,00:24:47,468
2024-10-17T15:56:41+09:00,00:02:47,1115
2024-10-17T15:58:47+09:00,00:33:42,14
2024-10-17T16:01:30+09:00,00:28:11,1725
2024-10-17T16:01:30+09:00,01:05:12,2401
2024-10-17T16:02:22+09:00,00:01:45,3209
2024-10-17T16:02:34+09:00,00:00:00,2153
2024-10-17T16:02:50+09:00,00:00:00,2607
2024-10-17T16:03:32+09:00,00:00:00,1272
2024-10-17T16:04:33+09:00,00:00:00,2170
2024-10-17T16:05:00+09:00,00:04:36,628
2024-10-17T16:05:26+09:00,00:00:00,1166
2024-10-17T16:05:38+09:00,00:10:00,2298
2024-10-17T16:05:47+09:00,00:04:19,189
2024-10-17T16:09:54+09:00,00:00:00,1601
2024-10-17T16:13:20+09:00,00:07:25,1604
2024-10-17T16:14:07+09:00,00:00:00,1605
2024-10-17T16:16:05+09:00,00:14:56,3389
2024-10-17T16:22:22+09:00,00:02:41,911
2024-10-17T16:23:07+09:00,00:00:37,2919
2024-10-17T16:25:48+09:00,00:00:00,68
2024-10-17T16:29:00+09:00,00:00:00,3530
2024-10-17T16:34:18+09:00,00:00:41,695
2024-10-17T16:36:42+09:00,00:00:00,3560
2024-10-17T16:40:25+09:00,00:00:00,1397
2024-10-17T16:42:04+09:00,00:00:00,2674
2024-10-17T16:49:13+09:00,00:29:22,2394
2024-10-17T16:57:49+09:00,00:04:26,2838
2024-10-17T17:01:59+09:00,00:35:41,1655
2024-10-17T17:02:44+09:00,00:08:28,189
2024-10-17T17:04:26+09:00,00:15:48,14
2024-10-17T17:06:51+09:00,00:07:49,88
2024-10-17T17:06:53+09:00,00:00:01,1601
2024-10-17T17:07:39+09:00,00:04:54,1272
2024-10-17T17:07:56+09:00,00:12:46,847
2024-10-17T17:08:45+09:00,00:00:00,628
2024-10-17T17:10:38+09:00,00:00:00,731
2024-10-17T17:13:25+09:00,00:02:15,1467
2024-10-17T17:19:17+09:00,00:00:22,2973
2024-10-17T17:24:32+09:00,00:00:00,745
2024-10-17T17:27:42+09:00,00:00:37,3389
2024-10-17T17:32:38+09:00,00:00:00,2905
2024-10-17T17:42:41+09:00,00:02:21,695
2024-10-17T17:57:40+09:00,00:26:51,88
2024-10-17T18:04:44+09:00,00:00:00,657
2024-10-17T18:16:01+09:00,00:11:18,2345
2024-10-17T18:16:18+09:00,00:00:00,1655
2024-10-17T18:20:22+09:00,00:01:01,1067
2024-10-17T18:20:27+09:00,00:00:02,3389
2024-10-17T18:20:46+09:00,00:00:00,1079
2024-10-17T18:23:59+09:00,00:00:35,703
2024-10-17T18:24:06+09:00,00:00:00,3238
2024-10-17T18:24:19+09:00,00:00:00,392
2024-10-17T18:35:09+09:00,00:00:14,428
2024-10-17T18:47:33+09:00,00:00:00,320
2024-10-17T18:47:36+09:00,00:00:00,1272
2024-10-17T18:53:40+09:00,00:08:59,1655
2024-10-17T18:55:34+09:00,00:01:42,3451
2024-10-17T19:03:15+09:00,00:01:18,625
2024-10-17T19:11:38+09:00,00:00:00,1988
2024-10-17T19:14:19+09:00,00:00:00,1605
2024-10-17T19:15:27+09:00,00:00:00,1397
2024-10-17T19:27:09+09:00,00:00:00,2345
2024-10-17T19:28:27+09:00,00:01:15,2394
2024-10-17T19:30:40+09:00,00:00:00,2298
2024-10-17T19:43:40+09:00,00:00:00,1604
2024-10-17T19:59:22+09:00,00:00:00,625
2024-10-17T20:04:19+09:00,00:44:40,2345
2024-10-17T21:17:06+09:00,00:00:00,2346
2024-10-17T21:17:54+09:00,00:00:01,3238
2024-10-17T22:00:15+09:00,00:17:58,2607
2024-10-17T22:27:17+09:00,00:00:47,329
2024-10-17T22:28:57+09:00,00:00:00,1655
2024-10-17T22:32:04+09:00,00:00:00,2148
2024-10-17T22:57:01+09:00,00:00:20,1604
2024-10-17T23:46:51+09:00,00:05:08,3524
2024-10-18T00:01:18+09:00,23:57:26,3345
2024-10-18T00:01:59+09:00,00:26:13,1705
2024-10-18T00:06:29+09:00,01:01:37,3524
2024-10-18T00:09:41+09:00,00:00:00,2345
2024-10-18T01:55:55+09:00,03:46:31,3524
2024-10-18T04:58:46+09:00,00:00:00,88
2024-10-18T05:20:36+09:00,10:34:05,1705
2024-10-18T06:14:00+09:00,17:43:38,3524
2024-10-18T06:49:22+09:00,00:00:01,88
2024-10-18T06:55:10+09:00,00:17:50,2607
2024-10-18T07:55:50+09:00,00:00:20,1655
2024-10-18T08:08:47+09:00,00:00:56,2607
2024-10-18T08:10:36+09:00,00:00:35,817
2024-10-18T08:15:19+09:00,00:00:01,703
2024-10-18T08:27:16+09:00,00:09:18,1655
2024-10-18T08:50:14+09:00,00:00:00,3006
2024-10-18T08:54:00+09:00,01:31:09,329
2024-10-18T09:02:11+09:00,00:00:00,1599
2024-10-18T09:05:09+09:00,00:00:00,657
2024-10-18T09:05:48+09:00,00:02:40,468
2024-10-18T09:06:39+09:00,00:00:20,88
2024-10-18T09:06:44+09:00,02:40:49,703
2024-10-18T09:17:25+09:00,08:36:38,2345
2024-10-18T09:27:11+09:00,00:00:00,520
2024-10-18T09:27:51+09:00,00:26:33,1272
2024-10-18T09:28:46+09:00,00:09:59,365
2024-10-18T09:29:08+09:00,00:36:03,14
2024-10-18T09:30:03+09:00,00:49:06,1655
2024-10-18T09:33:07+09:00,00:19:49,1112
2024-10-18T09:34:33+09:00,00:00:20,1604
2024-10-18T09:37:10+09:00,00:42:03,3451
2024-10-18T09:37:59+09:00,00:00:00,412
2024-10-18T09:45:40+09:00,00:00:00,1366
2024-10-18T09:47:09+09:00,00:00:00,2589
2024-10-18T09:47:37+09:00,00:16:19,2070
2024-10-18T09:47:58+09:00,00:00:00,778
2024-10-18T09:52:53+09:00,00:00:00,3637
2024-10-18T09:52:56+09:00,00:02:15,2611
