dt,spend,userid
2024-08-26T15:56:13+09:00,00:00:10,3157
2024-08-26T16:18:37+09:00,01:20:34,3524
2024-08-26T16:18:47+09:00,01:21:17,3451
2024-08-26T16:20:28+09:00,01:16:35,2778
2024-08-26T16:22:17+09:00,01:16:58,2345
2024-08-26T16:22:41+09:00,00:18:56,385
2024-08-26T16:23:30+09:00,00:54:25,703
2024-08-26T16:27:41+09:00,00:20:00,3538
2024-08-26T16:35:51+09:00,01:00:31,412
2024-08-26T17:01:04+09:00,00:17:47,1149
2024-08-26T17:17:44+09:00,00:18:14,3538
2024-08-26T17:25:42+09:00,00:13:52,385
2024-08-26T17:35:36+09:00,00:00:00,3157
2024-09-13T13:44:48+09:00,00:00:01,297
2024-09-26T14:04:09+09:00,00:08:03,62
2024-09-26T14:04:09+09:00,00:08:26,3157
2024-09-26T14:04:13+09:00,08:12:14,3524
2024-09-26T14:04:45+09:00,02:09:41,703
2024-09-26T14:04:52+09:00,00:05:41,1130
2024-09-26T14:05:07+09:00,00:00:50,2611
2024-09-26T14:05:17+09:00,00:00:00,3555
2024-09-26T14:05:23+09:00,00:00:00,731
2024-09-26T14:05:30+09:00,00:12:00,297
2024-09-26T14:05:31+09:00,00:07:06,189
2024-09-26T14:05:40+09:00,00:00:00,1202
2024-09-26T14:05:40+09:00,04:00:49,2345
2024-09-26T14:05:41+09:00,00:18:00,88
2024-09-26T14:05:51+09:00,00:05:00,3055
2024-09-26T14:06:23+09:00,00:00:00,2401
2024-09-26T14:06:23+09:00,00:04:06,3451
2024-09-26T14:09:52+09:00,00:00:00,520
2024-09-26T14:10:43+09:00,00:26:39,657
2024-09-26T14:10:47+09:00,00:00:00,495
2024-09-26T14:11:55+09:00,00:00:00,695
2024-09-26T14:12:49+09:00,00:00:00,3389
2024-09-26T14:13:44+09:00,00:00:00,392
2024-09-26T14:26:13+09:00,00:08:52,1432
2024-09-26T14:38:49+09:00,00:00:58,3641
2024-09-26T14:44:03+09:00,00:20:14,2070
2024-09-26T14:51:41+09:00,00:00:00,1717
2024-09-26T14:55:08+09:00,00:00:00,2672
2024-09-26T14:56:32+09:00,00:00:00,189
2024-09-26T14:56:51+09:00,00:09:35,88
2024-09-26T14:57:52+09:00,00:05:23,68
2024-09-26T14:58:19+09:00,00:27:04,1605
2024-09-26T15:00:54+09:00,00:12:44,2607
2024-09-26T15:01:58+09:00,00:16:44,437
2024-09-26T15:02:41+09:00,00:00:58,695
2024-09-26T15:11:32+09:00,00:00:00,520
2024-09-26T15:12:55+09:00,00:00:00,731
2024-09-26T15:16:32+09:00,00:09:35,2008
2024-09-26T15:30:41+09:00,00:05:29,14
2024-09-26T15:33:34+09:00,00:00:01,889
2024-09-26T15:42:01+09:00,00:01:00,1255
2024-09-26T15:45:07+09:00,00:00:00,520
2024-09-26T15:48:11+09:00,00:00:00,2607
2024-09-26T15:49:08+09:00,00:00:33,2070
2024-09-26T15:52:03+09:00,00:02:40,3637
2024-09-26T16:01:42+09:00,00:04:38,3142
2024-09-26T16:07:14+09:00,00:34:38,1655
2024-09-26T16:11:33+09:00,00:14:23,3562
2024-09-26T16:13:47+09:00,00:16:12,2611
2024-09-26T16:17:20+09:00,00:01:14,1077
2024-09-26T16:19:55+09:00,00:06:01,1544
2024-09-26T16:22:43+09:00,00:00:00,756
2024-09-26T16:24:03+09:00,00:03:00,680
2024-09-26T16:25:16+09:00,00:01:36,1988
2024-09-26T16:25:47+09:00,00:00:00,3639
2024-09-26T16:28:25+09:00,00:10:04,843
2024-09-26T16:28:32+09:00,00:02:37,3501
2024-09-26T16:28:40+09:00,00:01:47,118
2024-09-26T16:34:03+09:00,00:00:00,3345
2024-09-26T16:39:08+09:00,00:04:58,189
2024-09-26T16:40:30+09:00,00:00:01,2607
2024-09-26T16:45:02+09:00,00:00:00,329
2024-09-26T16:51:53+09:00,01:25:49,657
2024-09-26T16:52:16+09:00,00:02:18,437
2024-09-26T16:54:29+09:00,00:19:27,1144
2024-09-26T16:56:22+09:00,00:36:00,1272
2024-09-26T16:58:19+09:00,00:00:01,2592
2024-09-26T17:13:21+09:00,00:47:23,703
2024-09-26T17:15:16+09:00,00:14:15,2611
2024-09-26T17:16:12+09:00,00:00:58,706
2024-09-26T17:18:38+09:00,00:37:44,695
2024-09-26T17:18:54+09:00,00:00:00,189
2024-09-26T17:19:29+09:00,00:46:27,2925
2024-09-26T17:26:35+09:00,00:02:50,3287
2024-09-26T17:27:10+09:00,00:33:58,2070
2024-09-26T17:28:34+09:00,00:09:09,3451
2024-09-26T17:33:42+09:00,00:12:13,2808
2024-09-26T17:37:49+09:00,00:00:00,3562
2024-09-26T17:56:41+09:00,00:06:28,2607
2024-09-26T18:00:18+09:00,00:02:01,2611
2024-09-26T18:15:35+09:00,00:01:04,1409
2024-09-26T18:20:32+09:00,00:00:00,1284
2024-09-26T18:21:07+09:00,00:05:04,1725
2024-09-26T18:22:14+09:00,00:00:00,1281
2024-09-26T18:35:51+09:00,00:00:00,1655
2024-09-26T18:39:37+09:00,00:26:08,2345
2024-09-26T18:44:36+09:00,00:38:06,703
2024-09-26T19:06:17+09:00,00:15:54,657
2024-09-26T19:15:04+09:00,00:00:00,88
2024-09-26T19:21:35+09:00,00:00:00,1717
2024-09-26T19:50:38+09:00,00:08:22,2345
2024-09-26T19:58:26+09:00,00:07:40,1186
2024-09-26T20:01:11+09:00,00:01:25,1604
2024-09-26T20:04:50+09:00,00:00:00,189
2024-09-26T20:10:48+09:00,00:01:19,2499
2024-09-26T20:15:31+09:00,00:03:26,14
2024-09-26T20:29:06+09:00,00:00:00,1897
2024-09-26T20:29:55+09:00,00:00:00,3238
2024-09-26T20:32:07+09:00,00:00:00,2401
2024-09-26T20:41:32+09:00,00:00:01,1432
2024-09-26T20:55:51+09:00,00:19:19,847
2024-09-26T21:04:13+09:00,00:01:04,2345
2024-09-26T21:05:06+09:00,00:00:17,703
2024-09-26T21:39:53+09:00,00:02:21,3019
2024-09-26T21:59:44+09:00,00:09:59,657
2024-09-26T23:17:27+09:00,00:18:26,3524
2024-09-27T00:33:16+09:00,00:39:14,3524
2024-09-27T04:15:59+09:00,00:00:00,3524
2024-09-27T05:12:11+09:00,00:01:33,703
2024-09-27T05:12:41+09:00,16:28:59,3524
2024-09-27T06:13:02+09:00,00:08:00,2401
2024-09-27T06:20:20+09:00,00:01:47,704
2024-09-27T06:23:02+09:00,00:00:00,3052
2024-09-27T06:47:45+09:00,00:00:01,657
2024-09-27T06:49:26+09:00,00:14:49,189
2024-09-27T06:54:58+09:00,00:05:08,2345
2024-09-27T07:17:48+09:00,00:01:04,861
2024-09-27T07:18:39+09:00,00:00:00,657
2024-09-27T07:32:06+09:00,00:00:00,1432
2024-09-27T07:32:45+09:00,00:00:00,889
2024-09-27T07:34:21+09:00,00:00:40,14
2024-09-27T07:35:17+09:00,00:00:00,1655
2024-09-27T07:35:38+09:00,00:03:36,412
2024-09-27T07:42:08+09:00,09:52:10,2345
2024-09-27T07:54:02+09:00,00:05:02,2341
2024-09-27T08:01:13+09:00,00:03:59,657
2024-09-27T08:05:42+09:00,00:06:58,437
2024-09-27T08:09:12+09:00,00:00:40,1604
2024-09-27T08:11:03+09:00,00:27:40,2070
2024-09-27T08:13:02+09:00,00:02:34,1655
2024-09-27T08:18:02+09:00,00:46:02,1432
2024-09-27T08:23:02+09:00,00:00:00,847
2024-09-27T08:27:45+09:00,00:00:40,731
2024-09-27T08:33:34+09:00,00:05:03,2674
2024-09-27T08:36:45+09:00,00:37:35,14
2024-09-27T08:40:06+09:00,00:35:23,2607
2024-09-27T08:41:16+09:00,00:49:34,703
2024-09-27T08:42:44+09:00,00:24:17,520
2024-09-27T08:43:02+09:00,00:00:51,2312
2024-09-27T08:57:56+09:00,00:00:00,1988
2024-09-27T09:07:17+09:00,00:00:00,3340
2024-09-27T09:07:46+09:00,00:01:10,403
2024-09-27T09:07:57+09:00,00:51:25,2401
2024-09-27T09:10:20+09:00,00:00:00,1087
2024-09-27T09:12:15+09:00,00:00:59,657
2024-09-27T09:12:31+09:00,00:31:29,2482
2024-09-27T09:13:15+09:00,00:11:09,3257
2024-09-27T09:13:37+09:00,00:20:04,3345
2024-09-27T09:14:05+09:00,00:28:08,1220
2024-09-27T09:14:08+09:00,00:30:52,2219
2024-09-27T09:14:17+09:00,00:27:59,889
2024-09-27T09:17:13+09:00,00:26:24,329
2024-09-27T09:18:21+09:00,00:02:57,3639
2024-09-27T09:22:27+09:00,00:43:19,2070
2024-09-27T09:24:31+09:00,00:00:59,1272
2024-09-27T09:27:19+09:00,00:01:20,2341
2024-09-27T09:29:50+09:00,00:24:56,695
2024-09-27T09:33:46+09:00,00:29:22,2611
2024-09-27T09:47:10+09:00,00:02:52,1715
2024-09-27T09:48:31+09:00,00:44:50,1432
2024-09-27T09:59:07+09:00,00:00:00,1087
2024-09-27T10:02:21+09:00,00:05:00,731
2024-09-27T10:08:21+09:00,00:13:18,1655
2024-09-27T10:15:14+09:00,00:00:07,88
2024-09-27T10:18:03+09:00,00:28:31,2905
2024-09-27T10:18:41+09:00,00:09:53,14
2024-09-27T10:19:03+09:00,00:00:00,889
2024-09-27T10:20:29+09:00,00:00:00,1071
2024-09-27T10:21:24+09:00,00:00:00,2607
2024-09-27T10:21:47+09:00,00:25:36,3389
2024-09-27T10:25:39+09:00,01:49:19,703
2024-09-27T10:29:55+09:00,00:06:42,385
2024-09-27T10:32:18+09:00,00:03:00,2940
2024-09-27T10:33:35+09:00,00:07:57,1717
