dt,spend,userid
2024-08-27T17:44:41+09:00,00:00:00,3157
2024-09-13T13:29:49+09:00,00:00:00,3157
2024-09-13T13:29:55+09:00,00:00:00,297
2024-09-26T14:50:39+09:00,00:00:00,3055
2024-09-26T14:50:42+09:00,00:00:02,3524
2024-09-26T14:51:38+09:00,00:00:00,586
2024-09-26T14:52:00+09:00,00:00:00,14
2024-09-27T14:44:59+09:00,00:03:00,731
2024-09-27T14:45:06+09:00,08:50:50,3524
2024-09-27T14:45:28+09:00,00:27:54,88
2024-09-27T14:45:28+09:00,02:24:42,2220
2024-09-27T14:45:29+09:00,00:19:57,2345
2024-09-27T14:45:30+09:00,02:09:03,14
2024-09-27T14:45:33+09:00,06:13:06,703
2024-09-27T14:45:33+09:00,00:52:43,2905
2024-09-27T14:46:24+09:00,00:16:29,3555
2024-09-27T14:47:49+09:00,00:00:00,189
2024-09-27T14:51:19+09:00,00:00:00,1833
2024-09-27T14:51:34+09:00,00:18:06,2719
2024-09-27T14:54:28+09:00,02:30:26,2870
2024-09-27T14:55:50+09:00,00:05:03,2952
2024-09-27T14:58:10+09:00,00:37:20,1853
2024-09-27T15:02:42+09:00,00:00:00,1272
2024-09-27T15:06:47+09:00,00:30:36,1281
2024-09-27T15:08:05+09:00,00:00:00,695
2024-09-27T15:08:09+09:00,00:00:00,2219
2024-09-27T15:10:01+09:00,00:00:00,3345
2024-09-27T15:13:38+09:00,00:00:39,1655
2024-09-27T15:13:57+09:00,00:35:08,3257
2024-09-27T15:17:23+09:00,00:00:00,1725
2024-09-27T15:25:09+09:00,00:25:31,843
2024-09-27T15:29:52+09:00,00:00:00,731
2024-09-27T15:31:41+09:00,00:00:01,2778
2024-09-27T15:32:47+09:00,00:00:00,520
2024-09-27T15:34:18+09:00,00:17:58,2607
2024-09-27T15:34:46+09:00,00:20:04,385
2024-09-27T15:37:03+09:00,01:23:28,2345
2024-09-27T15:38:02+09:00,00:00:00,1071
2024-09-27T15:38:10+09:00,00:00:00,2219
2024-09-27T15:39:22+09:00,00:13:27,189
2024-09-27T15:41:34+09:00,00:00:00,296
2024-09-27T15:50:38+09:00,01:47:41,657
2024-09-27T16:07:04+09:00,00:01:52,1079
2024-09-27T16:07:11+09:00,00:25:35,3538
2024-09-27T16:07:27+09:00,00:00:01,3040
