dt,spend,userid
2024-10-04T11:10:25+09:00,12:39:42,703
2024-10-04T11:10:42+09:00,12:48:22,3524
2024-10-04T11:11:43+09:00,00:00:00,695
2024-10-04T11:13:08+09:00,00:00:01,2952
2024-10-04T11:13:15+09:00,00:00:00,896
2024-10-04T11:13:45+09:00,00:31:36,385
2024-10-04T11:14:44+09:00,03:23:21,2345
2024-10-04T11:16:57+09:00,00:00:00,437
2024-10-04T11:18:16+09:00,00:00:00,14
2024-10-04T11:18:44+09:00,00:24:54,2346
2024-10-04T11:19:13+09:00,00:00:00,847
2024-10-04T11:20:19+09:00,02:21:22,657
2024-10-04T11:20:24+09:00,00:26:36,2070
2024-10-04T11:21:56+09:00,00:05:53,1493
2024-10-04T11:23:25+09:00,00:33:07,495
2024-10-04T11:26:04+09:00,00:25:22,1284
2024-10-04T11:27:08+09:00,00:19:22,3241
2024-10-04T11:29:17+09:00,00:29:03,1717
2024-10-04T11:31:13+09:00,00:00:00,931
2024-10-04T11:33:09+09:00,00:23:15,3238
2024-10-04T11:36:23+09:00,00:00:00,1610
2024-10-04T11:38:44+09:00,00:00:00,1704
2024-10-04T11:46:23+09:00,00:00:00,211
2024-10-04T11:46:36+09:00,00:00:35,3560
2024-10-04T11:51:05+09:00,00:26:26,88
2024-10-04T11:52:38+09:00,00:00:00,695
2024-10-04T11:52:54+09:00,00:25:23,2952
2024-10-04T11:55:26+09:00,00:00:00,970
2024-10-04T11:57:56+09:00,00:00:20,1655
2024-10-04T11:58:19+09:00,00:00:01,2442
2024-10-04T11:58:46+09:00,00:11:25,1604
2024-10-04T12:00:01+09:00,01:52:43,520
2024-10-04T12:00:48+09:00,00:11:49,731
2024-10-04T12:03:28+09:00,00:10:01,2646
2024-10-04T12:04:58+09:00,00:21:00,2401
2024-10-04T12:05:29+09:00,00:03:15,3555
2024-10-04T12:06:56+09:00,00:00:34,847
2024-10-04T12:07:46+09:00,00:00:00,2934
2024-10-04T12:11:38+09:00,00:22:17,189
2024-10-04T12:15:38+09:00,00:00:00,14
2024-10-04T12:16:16+09:00,00:10:36,1705
2024-10-04T12:16:53+09:00,00:15:04,3451
2024-10-04T12:35:24+09:00,00:00:00,1071
2024-10-04T12:46:56+09:00,00:17:59,2070
2024-10-04T12:50:09+09:00,00:26:02,695
2024-10-04T12:53:23+09:00,00:13:32,3275
2024-10-04T12:53:34+09:00,00:05:20,3389
2024-10-04T12:53:37+09:00,00:20:46,2934
2024-10-04T12:54:52+09:00,00:00:00,2250
2024-10-04T13:02:33+09:00,00:00:00,2691
2024-10-04T13:03:40+09:00,00:00:00,1809
2024-10-04T13:09:48+09:00,00:03:33,847
2024-10-04T13:09:57+09:00,00:02:23,14
2024-10-04T13:10:58+09:00,00:00:19,189
2024-10-04T13:25:17+09:00,00:31:04,1655
2024-10-04T13:25:32+09:00,00:00:00,1079
2024-10-04T13:31:28+09:00,00:01:54,2719
2024-10-04T13:34:19+09:00,00:10:06,296
2024-10-04T13:35:33+09:00,00:00:00,1066
2024-10-04T13:36:11+09:00,00:00:00,88
2024-10-04T13:36:29+09:00,00:20:45,843
2024-10-04T13:39:04+09:00,00:20:21,3555
2024-10-04T13:52:09+09:00,00:12:41,695
2024-10-04T13:53:52+09:00,00:02:08,3501
2024-10-04T13:57:41+09:00,00:37:59,731
2024-10-04T13:59:08+09:00,00:01:44,896
2024-10-04T13:59:48+09:00,00:00:55,889
2024-10-04T14:00:00+09:00,00:00:59,211
2024-10-04T14:15:01+09:00,00:17:59,3054
2024-10-04T14:18:02+09:00,00:00:00,437
2024-10-04T14:21:44+09:00,00:04:57,189
2024-10-04T14:22:05+09:00,00:00:01,1988
2024-10-04T14:22:41+09:00,00:00:00,1717
2024-10-04T14:23:02+09:00,00:04:00,3407
2024-10-04T14:24:24+09:00,00:05:13,14
2024-10-04T14:32:08+09:00,00:00:00,680
2024-10-04T14:32:59+09:00,00:00:00,1777
2024-10-04T14:37:27+09:00,00:04:11,1605
2024-10-04T14:40:11+09:00,00:06:55,296
2024-10-04T14:40:12+09:00,00:00:00,657
2024-10-04T14:40:14+09:00,00:00:00,211
2024-10-04T14:43:48+09:00,00:00:15,3560
2024-10-04T14:48:27+09:00,00:00:00,62
2024-10-04T14:56:12+09:00,00:13:22,3555
2024-10-04T15:02:53+09:00,00:00:00,2607
2024-10-04T15:04:30+09:00,00:00:00,3157
2024-10-04T15:06:40+09:00,00:40:33,731
2024-10-04T15:10:16+09:00,00:00:00,520
2024-10-04T15:18:15+09:00,00:28:34,329
2024-10-04T15:20:35+09:00,00:00:00,1194
2024-10-04T15:20:51+09:00,00:25:16,2345
2024-10-04T15:22:19+09:00,00:15:02,3430
2024-10-04T15:27:55+09:00,00:07:11,1071
2024-10-04T15:29:37+09:00,00:23:58,3319
2024-10-04T15:31:33+09:00,00:09:01,3560
2024-10-04T15:33:35+09:00,00:00:00,1585
2024-10-04T15:36:54+09:00,01:41:57,657
2024-10-04T15:42:39+09:00,00:35:53,189
2024-10-04T15:48:50+09:00,00:36:23,14
2024-10-04T15:50:06+09:00,00:00:00,437
2024-10-04T15:51:37+09:00,00:16:13,1066
2024-10-04T15:57:48+09:00,00:00:00,385
2024-10-04T15:59:39+09:00,00:04:01,2952
2024-10-04T16:03:31+09:00,00:26:33,1655
2024-10-04T16:04:27+09:00,00:00:00,695
2024-10-04T16:15:05+09:00,00:02:01,2838
2024-10-04T16:36:32+09:00,00:14:20,2674
2024-10-04T16:36:42+09:00,00:06:56,628
2024-10-04T16:41:16+09:00,03:52:59,2345
2024-10-04T16:42:26+09:00,00:00:00,889
2024-10-04T16:50:17+09:00,00:00:00,189
2024-10-04T16:59:17+09:00,00:00:00,373
2024-10-04T16:59:44+09:00,00:02:35,2952
2024-10-04T17:10:27+09:00,00:14:02,14
2024-10-04T17:21:51+09:00,00:00:00,3451
2024-10-04T17:33:36+09:00,00:00:00,1605
2024-10-04T17:39:26+09:00,00:35:30,3345
2024-10-04T17:44:03+09:00,00:02:03,3555
2024-10-04T17:45:39+09:00,00:00:00,889
2024-10-04T17:45:48+09:00,00:14:23,1493
2024-10-04T17:46:23+09:00,00:00:00,695
2024-10-04T17:52:21+09:00,00:11:17,1157
2024-10-04T18:04:33+09:00,00:02:48,14
2024-10-04T18:04:56+09:00,00:08:43,329
2024-10-04T18:21:46+09:00,00:00:00,3555
2024-10-04T18:23:25+09:00,00:16:14,189
2024-10-04T18:23:29+09:00,00:19:31,2346
2024-10-04T18:29:14+09:00,00:13:46,3238
2024-10-04T18:48:27+09:00,00:00:00,3345
2024-10-04T18:58:40+09:00,00:22:27,3560
2024-10-04T18:59:37+09:00,00:00:00,628
2024-10-04T19:06:18+09:00,00:11:24,1605
2024-10-04T19:11:18+09:00,00:00:00,385
2024-10-04T19:17:09+09:00,00:00:00,847
2024-10-04T19:17:12+09:00,00:00:45,329
2024-10-04T19:27:12+09:00,00:10:52,189
2024-10-04T19:28:47+09:00,00:00:00,2326
2024-10-04T19:30:09+09:00,00:05:19,3451
2024-10-04T19:32:42+09:00,00:01:10,520
2024-10-04T19:43:02+09:00,00:28:36,731
2024-10-04T19:49:26+09:00,00:28:36,62
2024-10-04T19:55:58+09:00,00:00:07,1604
2024-10-04T19:57:46+09:00,00:00:00,1605
2024-10-04T20:03:39+09:00,00:00:00,2905
2024-10-04T20:03:51+09:00,00:08:32,889
2024-10-04T20:09:25+09:00,00:27:14,2734
2024-10-04T20:10:21+09:00,00:29:20,1855
2024-10-04T20:12:05+09:00,00:01:06,657
2024-10-04T20:14:08+09:00,00:09:58,2778
2024-10-04T20:20:40+09:00,00:00:00,2607
2024-10-04T20:48:49+09:00,00:00:00,2220
2024-10-04T21:01:46+09:00,00:00:00,2278
2024-10-04T21:23:28+09:00,00:00:53,927
2024-10-04T21:24:38+09:00,00:00:00,1605
2024-10-04T21:29:26+09:00,00:00:00,1071
2024-10-04T21:34:48+09:00,00:07:00,657
2024-10-04T21:47:28+09:00,02:06:58,2345
2024-10-04T22:02:27+09:00,00:11:28,2221
2024-10-04T22:04:38+09:00,00:16:00,1605
2024-10-04T22:15:34+09:00,00:10:00,14
2024-10-04T22:23:56+09:00,00:00:00,1655
2024-10-04T22:28:32+09:00,00:08:00,847
2024-10-04T22:39:18+09:00,00:00:00,2607
2024-10-04T22:42:13+09:00,00:00:00,1604
2024-10-04T22:43:44+09:00,00:05:59,896
2024-10-04T22:43:58+09:00,00:05:15,1201
2024-10-04T23:01:35+09:00,00:00:07,62
2024-10-04T23:12:00+09:00,00:00:00,385
2024-10-04T23:36:43+09:00,00:15:00,695
2024-10-05T00:01:26+09:00,23:48:19,3524
2024-10-05T00:01:38+09:00,00:28:51,703
2024-10-05T00:15:17+09:00,00:14:24,520
2024-10-05T00:33:02+09:00,00:00:00,2345
2024-10-05T00:33:53+09:00,00:53:21,847
2024-10-05T00:38:41+09:00,00:22:36,657
2024-10-05T00:48:01+09:00,00:00:00,2592
2024-10-05T01:06:14+09:00,00:00:06,1363
2024-10-05T01:06:22+09:00,05:31:49,703
2024-10-05T01:16:08+09:00,00:00:00,1272
2024-10-05T01:19:12+09:00,00:00:40,2934
2024-10-05T01:19:59+09:00,00:05:15,2345
2024-10-05T01:35:17+09:00,00:09:11,211
2024-10-05T01:36:38+09:00,00:00:00,2219
2024-10-05T02:10:29+09:00,00:00:00,3560
2024-10-05T02:10:34+09:00,00:21:29,2345
2024-10-05T02:12:34+09:00,00:02:40,847
2024-10-05T02:15:48+09:00,00:00:00,2219
2024-10-05T02:26:28+09:00,00:00:00,2401
2024-10-05T02:29:02+09:00,00:35:57,520
2024-10-05T03:15:01+09:00,00:00:03,2345
2024-10-05T03:16:43+09:00,00:00:43,1604
2024-10-05T03:29:49+09:00,00:00:00,695
2024-10-05T03:52:44+09:00,00:00:00,657
2024-10-05T03:58:13+09:00,00:00:00,3280
2024-10-05T04:09:22+09:00,00:39:42,2345
2024-10-05T04:13:09+09:00,00:05:20,296
2024-10-05T04:40:55+09:00,00:00:24,628
2024-10-05T04:48:24+09:00,00:00:17,1605
2024-10-05T05:04:37+09:00,00:55:33,520
2024-10-05T05:07:20+09:00,00:04:17,14
2024-10-05T05:21:38+09:00,07:00:53,2345
2024-10-05T05:23:23+09:00,00:06:20,678
2024-10-05T05:55:45+09:00,00:08:40,437
2024-10-05T05:56:36+09:00,00:00:00,657
2024-10-05T05:58:47+09:00,00:35:19,695
2024-10-05T06:03:57+09:00,00:02:55,14
2024-10-05T06:04:53+09:00,00:03:03,3639
2024-10-05T06:13:38+09:00,00:00:00,3345
